TEAM_ID,TEAM_NAME,CONFERENCE,WINS,LOSSES,WIN_PCT,POINT_DIFF,POINT_DIFF_RANK
2458,Northern Colorado Bears,Big Sky Conference,20,12,0.625,6,81
2368,Marist Red Foxes,Metro Atlantic Athletic Conference,19,12,0.61290324,5.9,85
2026,App State Mountaineers,Sun Belt Conference,19,13,0.59375,5.9,85
2634,Tennessee State Tigers,Ohio Valley Conference,23,10,0.6969697,5.9,87
222,Villanova Wildcats,Big East Conference,24,9,0.72727275,5.9,87
2032,Arkansas State Red Wolves,Sun Belt Conference,20,12,0.625,5.8,89
94,Northern Kentucky Norse,Horizon League,20,14,0.5882353,5.6,90
2244,George Mason Patriots,Atlantic 10 Conference,23,10,0.6969697,5.5,91
231,Furman Paladins,Southern Conference,22,13,0.62857145,5.5,91
2132,Cincinnati Bearcats,Big 12 Conference,18,15,0.54545456,5.5,91
201,Oklahoma Sooners,Southeastern Conference,21,16,0.5675676,5.5,91
28,UC San Diego Tritons,Big West Conference,23,11,0.6764706,5.4,95
5,UAB Blazers,American Conference,20,12,0.625,5.4,95
2729,William & Mary Tribe,Coastal Athletic Association,20,12,0.625,5.4,97
2628,TCU Horned Frogs,Big 12 Conference,23,12,0.6571429,5.3,98
2523,Robert Morris Colonials,Horizon League,22,11,0.6666667,5.3,98
239,Baylor Bears,Big 12 Conference,17,17,0.5,5.3,100
2550,Seton Hall Pirates,Big East Conference,21,12,0.6363636,5.1,101
70,Idaho Vandals,Big Sky Conference,21,15,0.5833333,5.1,101
172,Cornell Big Red,Ivy League,15,13,0.53571427,5.1,101
2856,California Baptist Lancers,Western Athletic Conference,25,9,0.7352941,5,104
25,California Golden Bears,Atlantic Coast Conference,22,12,0.64705884,4.9,105
2754,Youngstown State Penguins,Horizon League,15,17,0.46875,4.9,105
2348,Louisiana Tech Bulldogs,Conference USA,20,14,0.5882353,4.9,105
82,UIC Flames,Missouri Valley Conference,19,16,0.54285717,4.9,105
261,Vermont Catamounts,America East Conference,22,12,0.64705884,4.9,105
171,Columbia Lions,Ivy League,16,12,0.5714286,4.9,110
277,West Virginia Mountaineers,Big 12 Conference,21,14,0.6,4.9,110
2547,Seattle U Redhawks,West Coast Conference,21,14,0.6,4.8,112
2540,UC Santa Barbara Gauchos,Big West Conference,18,14,0.5625,4.8,112
2168,Dayton Flyers,Atlantic 10 Conference,25,12,0.6756757,4.8,112
357,Texas A&M-Corpus Christi Islanders,Southland Conference,18,15,0.54545456,4.8,112
68,Boise State Broncos,Mountain West Conference,20,12,0.625,4.7,116
2309,Kent State Golden Flashes,Mid-American Conference,24,10,0.7058824,4.7,116
36,Colorado State Rams,Mountain West Conference,21,13,0.61764705,4.6,118
2561,Siena Saints,Metro Atlantic Athletic Conference,23,12,0.6571429,4.6,118
2440,Nevada Wolf Pack,Mountain West Conference,24,13,0.6486486,4.5,120
2226,Florida Atlantic Owls,American Conference,18,15,0.54545456,4.4,121
2649,Toledo Rockets,Mid-American Conference,19,15,0.5588235,4.4,121
6,South Alabama Jaguars,Sun Belt Conference,21,12,0.6363636,4.3,123
55,Jacksonville State Gamecocks,Conference USA,15,17,0.46875,4.3,124
2230,Fordham Rams,Atlantic 10 Conference,17,15,0.53125,4.3,124
2,Auburn Tigers,Southeastern Conference,22,16,0.57894737,4.2,126
2166,Davidson Wildcats,Atlantic 10 Conference,20,14,0.5882353,4.1,127
288,Lipscomb Bisons,ASUN Conference,19,13,0.59375,4,128
2546,Southeast Missouri State Redhawks,Ohio Valley Conference,20,13,0.6060606,3.9,129
2751,Wyoming Cowboys,Mountain West Conference,18,15,0.54545456,3.9,129
2692,Weber State Wildcats,Big Sky Conference,16,16,0.5,3.9,129
279,Pacific Tigers,West Coast Conference,18,15,0.54545456,3.9,129
259,Virginia Tech Hokies,Atlantic Coast Conference,19,13,0.59375,3.9,133
142,Missouri Tigers,Southeastern Conference,20,13,0.6060606,3.7,134
71,Bradley Braves,Missouri Valley Conference,21,13,0.61764705,3.6,135
2535,Samford Bulldogs,Southern Conference,18,14,0.5625,3.6,135
2344,Longwood Lancers,Big South Conference,16,16,0.5,3.6,135
264,Washington Huskies,Big Ten Conference,16,17,0.4848485,3.5,138
249,North Texas Mean Green,American Conference,19,14,0.57575756,3.5,138
79,Southern Illinois Salukis,Missouri Valley Conference,16,16,0.5,3.4,140
108,Harvard Crimson,Ivy League,17,12,0.5862069,3.4,141
2127,Charleston Southern Buccaneers,Big South Conference,15,17,0.46875,3.3,142
2514,Quinnipiac Bobcats,Metro Atlantic Athletic Conference,19,13,0.59375,3.3,143
250,UT Arlington Mavericks,Western Athletic Conference,18,14,0.5625,3.3,143
44,American University Eagles,Patriot League,16,16,0.5,3.3,143
98,Western Kentucky Hilltoppers,Conference USA,18,14,0.5625,3.2,146
218,Temple Owls,American Conference,16,16,0.5,3.1,147
119,Towson Tigers,Coastal Athletic Association,19,15,0.5588235,3.1,147
166,New Mexico State Aggies,Conference USA,16,16,0.5,3.1,149
2184,Duquesne Dukes,Atlantic 10 Conference,18,15,0.54545456,3.1,149
276,Marshall Thundering Herd,Sun Belt Conference,19,13,0.59375,3.1,149
24,Stanford Cardinal,Atlantic Coast Conference,20,13,0.6060606,3,152
326,Texas State Bobcats,Sun Belt Conference,19,13,0.59375,2.9,153
2217,Fairfield Stags,Metro Atlantic Athletic Conference,21,13,0.61764705,2.9,153
99,LSU Tigers,Southeastern Conference,15,17,0.46875,2.9,153
2115,Central Connecticut Blue Devils,Northeast Conference,18,12,0.6,2.9,156
2603,Saint Joseph's Hawks,Atlantic 10 Conference,24,12,0.6666667,2.8,157
93,Murray State Racers,Missouri Valley Conference,20,13,0.6060606,2.8,157
257,Richmond Spiders,Atlantic 10 Conference,15,17,0.46875,2.8,157
149,Montana Grizzlies,Big Sky Conference,18,16,0.5294118,2.7,160
2229,Florida International Panthers,Conference USA,15,17,0.46875,2.7,161
2515,Radford Highlanders,Big South Conference,16,16,0.5,2.6,162
2450,Norfolk State Spartans,Mid-Eastern Athletic Conference,15,17,0.46875,2.6,162
2571,South Dakota State Jackrabbits,Summit League,14,18,0.4375,2.6,162
113,Massachusetts Minutemen,Mid-American Conference,17,16,0.5151515,2.6,162
2393,Middle Tennessee Blue Raiders,Conference USA,17,15,0.53125,2.6,162
302,UC Davis Aggies,Big West Conference,19,14,0.57575756,2.5,167
52,Florida State Seminoles,Atlantic Coast Conference,18,15,0.54545456,2.5,167
2612,Saint Peter's Peacocks,Metro Atlantic Athletic Conference,17,12,0.5862069,2.4,169
2116,UCF Knights,Big 12 Conference,21,12,0.6363636,2.3,170
