TEAM_ID,TEAM_NAME,CONFERENCE,WIN_PCT,POINT_DIFF,AVG_GAME_MARGIN
2634,Tennessee State Tigers,Ohio Valley Conference,0.6969697,5.9,5.939394
222,Villanova Wildcats,Big East Conference,0.72727275,5.9,5.878788
2368,Marist Red Foxes,Metro Atlantic Athletic Conference,0.61290324,5.9,5.838710
2032,Arkansas State Red Wolves,Sun Belt Conference,0.625,5.8,5.750000
94,Northern Kentucky Norse,Horizon League,0.5882353,5.6,5.676471
2132,Cincinnati Bearcats,Big 12 Conference,0.54545456,5.5,5.545455
231,Furman Paladins,Southern Conference,0.62857145,5.5,5.485714
2244,George Mason Patriots,Atlantic 10 Conference,0.6969697,5.5,5.484848
201,Oklahoma Sooners,Southeastern Conference,0.5675676,5.5,5.459459
5,UAB Blazers,American Conference,0.625,5.4,5.437500
2729,William & Mary Tribe,Coastal Athletic Association,0.625,5.4,5.406250
28,UC San Diego Tritons,Big West Conference,0.6764706,5.4,5.382353
2523,Robert Morris Colonials,Horizon League,0.6666667,5.3,5.333333
2628,TCU Horned Frogs,Big 12 Conference,0.6571429,5.3,5.285714
239,Baylor Bears,Big 12 Conference,0.5,5.3,5.264706
172,Cornell Big Red,Ivy League,0.53571427,5.1,5.071429
2856,California Baptist Lancers,Western Athletic Conference,0.7352941,5,5.058824
70,Idaho Vandals,Big Sky Conference,0.5833333,5.1,5.055556
2550,Seton Hall Pirates,Big East Conference,0.6363636,5.1,5.000000
171,Columbia Lions,Ivy League,0.5714286,4.9,4.964286
2754,Youngstown State Penguins,Horizon League,0.46875,4.9,4.906250
277,West Virginia Mountaineers,Big 12 Conference,0.6,4.9,4.885714
2547,Seattle U Redhawks,West Coast Conference,0.6,4.8,4.885714
261,Vermont Catamounts,America East Conference,0.64705884,4.9,4.882353
82,UIC Flames,Missouri Valley Conference,0.54285717,4.9,4.857143
2348,Louisiana Tech Bulldogs,Conference USA,0.5882353,4.9,4.852941
25,California Golden Bears,Atlantic Coast Conference,0.64705884,4.9,4.852941
2540,UC Santa Barbara Gauchos,Big West Conference,0.5625,4.8,4.843750
2168,Dayton Flyers,Atlantic 10 Conference,0.6756757,4.8,4.837838
357,Texas A&M-Corpus Christi Islanders,Southland Conference,0.54545456,4.8,4.818182
68,Boise State Broncos,Mountain West Conference,0.625,4.7,4.718750
2309,Kent State Golden Flashes,Mid-American Conference,0.7058824,4.7,4.676471
36,Colorado State Rams,Mountain West Conference,0.61764705,4.6,4.647059
2561,Siena Saints,Metro Atlantic Athletic Conference,0.6571429,4.6,4.542857
2440,Nevada Wolf Pack,Mountain West Conference,0.6486486,4.5,4.486486
2649,Toledo Rockets,Mid-American Conference,0.5588235,4.4,4.470588
2230,Fordham Rams,Atlantic 10 Conference,0.53125,4.3,4.375000
2226,Florida Atlantic Owls,American Conference,0.54545456,4.4,4.333333
6,South Alabama Jaguars,Sun Belt Conference,0.6363636,4.3,4.303030
55,Jacksonville State Gamecocks,Conference USA,0.46875,4.3,4.281250
2,Auburn Tigers,Southeastern Conference,0.57894737,4.2,4.236842
2166,Davidson Wildcats,Atlantic 10 Conference,0.5882353,4.1,4.058824
288,Lipscomb Bisons,ASUN Conference,0.59375,4,3.937500
2546,Southeast Missouri State Redhawks,Ohio Valley Conference,0.6060606,3.9,3.909091
259,Virginia Tech Hokies,Atlantic Coast Conference,0.59375,3.9,3.906250
279,Pacific Tigers,West Coast Conference,0.54545456,3.9,3.878788
2751,Wyoming Cowboys,Mountain West Conference,0.54545456,3.9,3.878788
2692,Weber State Wildcats,Big Sky Conference,0.5,3.9,3.875000
142,Missouri Tigers,Southeastern Conference,0.6060606,3.7,3.757576
71,Bradley Braves,Missouri Valley Conference,0.61764705,3.6,3.647059
2535,Samford Bulldogs,Southern Conference,0.5625,3.6,3.625000
2344,Longwood Lancers,Big South Conference,0.5,3.6,3.625000
249,North Texas Mean Green,American Conference,0.57575756,3.5,3.515152
264,Washington Huskies,Big Ten Conference,0.4848485,3.5,3.484848
108,Harvard Crimson,Ivy League,0.5862069,3.4,3.379310
2514,Quinnipiac Bobcats,Metro Atlantic Athletic Conference,0.59375,3.3,3.375000
2127,Charleston Southern Buccaneers,Big South Conference,0.46875,3.3,3.343750
79,Southern Illinois Salukis,Missouri Valley Conference,0.5,3.4,3.333333
250,UT Arlington Mavericks,Western Athletic Conference,0.5625,3.3,3.312500
44,American University Eagles,Patriot League,0.5,3.3,3.250000
218,Temple Owls,American Conference,0.5,3.1,3.187500
98,Western Kentucky Hilltoppers,Conference USA,0.5625,3.2,3.156250
166,New Mexico State Aggies,Conference USA,0.5,3.1,3.125000
2184,Duquesne Dukes,Atlantic 10 Conference,0.54545456,3.1,3.121212
119,Towson Tigers,Coastal Athletic Association,0.5588235,3.1,3.117647
276,Marshall Thundering Herd,Sun Belt Conference,0.59375,3.1,3.093750
24,Stanford Cardinal,Atlantic Coast Conference,0.6060606,3,3.030303
99,LSU Tigers,Southeastern Conference,0.46875,2.9,2.937500
326,Texas State Bobcats,Sun Belt Conference,0.59375,2.9,2.937500
2115,Central Connecticut Blue Devils,Northeast Conference,0.6,2.9,2.933333
2603,Saint Joseph's Hawks,Atlantic 10 Conference,0.6666667,2.8,2.888889
93,Murray State Racers,Missouri Valley Conference,0.6060606,2.8,2.878788
2217,Fairfield Stags,Metro Atlantic Athletic Conference,0.61764705,2.9,2.823529
257,Richmond Spiders,Atlantic 10 Conference,0.46875,2.8,2.781250
2229,Florida International Panthers,Conference USA,0.46875,2.7,2.750000
149,Montana Grizzlies,Big Sky Conference,0.5294118,2.7,2.705882
2393,Middle Tennessee Blue Raiders,Conference USA,0.53125,2.6,2.656250
113,Massachusetts Minutemen,Mid-American Conference,0.5151515,2.6,2.606061
2450,Norfolk State Spartans,Mid-Eastern Athletic Conference,0.46875,2.6,2.593750
2571,South Dakota State Jackrabbits,Summit League,0.4375,2.6,2.562500
302,UC Davis Aggies,Big West Conference,0.57575756,2.5,2.545455
2515,Radford Highlanders,Big South Conference,0.5,2.6,2.531250
52,Florida State Seminoles,Atlantic Coast Conference,0.54545456,2.5,2.424242
2612,Saint Peter's Peacocks,Metro Atlantic Athletic Conference,0.5862069,2.4,2.413793
2116,UCF Knights,Big 12 Conference,0.6363636,2.3,2.303030
2351,Loyola Marymount Lions,West Coast Conference,0.46875,2.2,2.187500
2771,Merrimack Warriors,Metro Atlantic Athletic Conference,0.6764706,2,2.058824
232,Charleston Cougars,Coastal Athletic Association,0.65625,2,2.031250
2385,Mercyhurst Lakers,Northeast Conference,0.5,2,1.970588
154,Wake Forest Demon Deacons,Atlantic Coast Conference,0.51428574,1.9,1.885714
3101,Utah Tech Trailblazers,Western Athletic Conference,0.5588235,1.9,1.882353
179,St. Bonaventure Bonnies,Atlantic 10 Conference,0.5,1.9,1.882353
112358,Long Island University Sharks,Northeast Conference,0.6857143,1.9,1.861111
2086,Butler Bulldogs,Big East Conference,0.5,1.9,1.843750
2084,Buffalo Bulls,Mid-American Conference,0.53125,1.8,1.843750
2405,Monmouth Hawks,Coastal Athletic Association,0.5588235,1.8,1.823529
2142,Colgate Raiders,Patriot League,0.54545456,1.8,1.818182
227,Rhode Island Rams,Atlantic 10 Conference,0.5,1.7,1.687500
2582,Southern Jaguars,Southwestern Athletic Conference,0.5,1.7,1.676471
