TEAM_ID,TEAM_NAME,CONFERENCE,POINT_DIFF,WIN_PCT,POINT_DIFF_QUARTILE
231,Furman Paladins,Southern Conference,5.5,0.62857145,2
201,Oklahoma Sooners,Southeastern Conference,5.5,0.5675676,2
28,UC San Diego Tritons,Big West Conference,5.4,0.6764706,2
5,UAB Blazers,American Conference,5.4,0.625,2
2729,William & Mary Tribe,Coastal Athletic Association,5.4,0.625,2
2523,Robert Morris Colonials,Horizon League,5.3,0.6666667,2
2628,TCU Horned Frogs,Big 12 Conference,5.3,0.6571429,2
239,Baylor Bears,Big 12 Conference,5.3,0.5,2
70,Idaho Vandals,Big Sky Conference,5.1,0.5833333,2
172,Cornell Big Red,Ivy League,5.1,0.53571427,2
2550,Seton Hall Pirates,Big East Conference,5.1,0.6363636,2
2856,California Baptist Lancers,Western Athletic Conference,5,0.7352941,2
261,Vermont Catamounts,America East Conference,4.9,0.64705884,2
82,UIC Flames,Missouri Valley Conference,4.9,0.54285717,2
2348,Louisiana Tech Bulldogs,Conference USA,4.9,0.5882353,2
2754,Youngstown State Penguins,Horizon League,4.9,0.46875,2
25,California Golden Bears,Atlantic Coast Conference,4.9,0.64705884,2
277,West Virginia Mountaineers,Big 12 Conference,4.9,0.6,2
171,Columbia Lions,Ivy League,4.9,0.5714286,2
2540,UC Santa Barbara Gauchos,Big West Conference,4.8,0.5625,2
357,Texas A&M-Corpus Christi Islanders,Southland Conference,4.8,0.54545456,2
2168,Dayton Flyers,Atlantic 10 Conference,4.8,0.6756757,2
2547,Seattle U Redhawks,West Coast Conference,4.8,0.6,2
2309,Kent State Golden Flashes,Mid-American Conference,4.7,0.7058824,2
68,Boise State Broncos,Mountain West Conference,4.7,0.625,2
2561,Siena Saints,Metro Atlantic Athletic Conference,4.6,0.6571429,2
36,Colorado State Rams,Mountain West Conference,4.6,0.61764705,2
2440,Nevada Wolf Pack,Mountain West Conference,4.5,0.6486486,2
2649,Toledo Rockets,Mid-American Conference,4.4,0.5588235,2
2226,Florida Atlantic Owls,American Conference,4.4,0.54545456,2
6,South Alabama Jaguars,Sun Belt Conference,4.3,0.6363636,2
55,Jacksonville State Gamecocks,Conference USA,4.3,0.46875,2
2230,Fordham Rams,Atlantic 10 Conference,4.3,0.53125,2
